Location,Type,Area_m²,Price_€,Price
Valdebek,1,288,135000,135000
Veli vrh,0,601,22000,22000
Veli vrh,0,546,22000,22000
Busoler,0,1200,37000,37000
Centar,1,774,62000,62000
Veruda,1,935,350000,350000
Veli vrh,1,6397,890000,890000
Šijana,1,2150,172000,172000
Centar,1,10000,2000000,2000000
Valdebek,1,2052,205200,205200
Šijana,1,1862,242060,242060
Šijana,0,1480,148000,148000
Valdebek,0,1299,35000,35000
Veli vrh,1,4900,588000,588000
Veli vrh,1,6000,480000,480000
Štinjan,1,1784,12488,12488
Štinjan,1,646,100000,100000
Štinjan,1,2712,336000,336000
Štinjan,1,1317,200000,200000
Štinjan,1,1219,170660,170660
Štinjan,1,5538,1218360,1218360
